Test ID,Category,Feature,Scenario,Priority,Expected Result
CP-FN-01,Functional,Company Profile,GET /company,High,"Full profile returned incl. joined subscription_plans fields (storage_limit_mb, max_employees, enabled_modules)"
CP-FN-02,Functional,Company Profile,PUT /company with a full valid payload,High,"Name/address/contact/currency/date_format/FY-start-month/theme colors all updated"
CP-FN-03,Functional,Theming,Update theme_primary_color/theme_secondary_color,Medium,MUI palette rebuilt from the new hex values via ThemeModeProvider on next session load
CP-FN-04,Functional,Settings Read,GET /settings,High,"All keys (payroll_settings, attendance_rules, leave_allocations, attendance_link) returned to any authenticated user"
CP-FN-05,Functional,Settings Write,POST /settings/bulk for payroll_settings with payroll.settings.manage,High,Key updated successfully
CP-FN-06,Functional,Settings Write,POST /settings/bulk for attendance_rules with attendance.settings.manage,High,Key updated successfully
CP-FN-07,Functional,Settings Write,POST /settings/bulk for leave_allocations with general.settings.manage,High,Key updated successfully
CP-FN-08,Functional,Settings Write,POST /settings/bulk for attendance_link with general.settings.manage,Medium,Key updated successfully
CP-FN-09,Functional,UI,Settings > Company Profile tab renders and saves,Medium,Round-trips correctly via GET/PUT /company
CP-FN-10,Functional,UI,Settings > General Config tab renders Leave Allocations + Attendance Link,Medium,Both sections function and save via POST /settings/bulk
CP-NG-01,Negative,Company Profile,PUT /company without company.manage,Critical,"403 — confirmed this includes HR/Payroll Admin/Attendance Admin roles BY DEFAULT, since tenantProvisioning.service.js grants company.manage only to super_admin out of the box"
CP-NG-02,Negative,Company Profile,GET /company without company.view or company.manage,High,403 forbidden
CP-NG-03,Negative,Company Profile,PUT /company with an invalid contact_email format,High,400 validation error
CP-NG-04,Negative,Company Profile,"PUT /company with a malformed theme color (e.g. ""red"", 3-digit ""#fff"", or missing #)",High,400 — rejected by the ^#[0-9A-Fa-f]{6,8}$ regex
CP-NG-05,Negative,Company Profile,PUT /company with financial_year_start_month outside 1-12,High,400 range validation error
