Test ID,Category,Feature,Scenario,Priority,Expected Result
MM-FN-01,Functional,Raw List,GET /menu returns the raw unfiltered flat list for the tenant,High,All menu_items rows returned regardless of is_active/is_feature_enabled/permission (admin UI data source)
MM-FN-02,Functional,Nav Tree,GET /menu/tree returns the filtered nav tree,High,"Only rows with is_active=1 AND is_feature_enabled=1, and matching the caller's permission/any_permission, are included"
MM-FN-03,Functional,Full Replace,PUT /menu with a valid ordered payload (parents before their children),High,"Tenant's entire menu wiped and reinserted; new ids assigned; parent-child relationships correctly resolved"
MM-FN-04,Functional,Reorder,Use the Settings UI's up/down arrows to reorder items and save,Medium,"sort_order rewritten as index*10 for every item, persisted via PUT /menu"
MM-FN-05,Functional,Visibility Toggle,Toggle a menu item's is_active (""Visible"") switch,Medium,Item disappears from GET /menu/tree once saved
MM-FN-06,Functional,Feature Toggle,Toggle a menu item's is_feature_enabled switch,Medium,Item disappears from GET /menu/tree once saved (see MM-SC-01 for the accompanying enforcement gap)
MM-FN-07,Functional,Plan-Driven Gating,Provision a tenant or reassign its subscription plan,High,"applyPlanModules correctly sets is_feature_enabled on exactly the 5 gateable top-level modules (payroll, reports, recruitment, performance, assets) per the plan's enabled_modules"
MM-FN-08,Functional,Sidebar Refresh,A permission/menu change takes effect for an active user,Medium,"Nav tree refreshes automatically the next time that user's access token expires AND they make an API call (401->refresh->applySession cycle) — not before, and not via any background timer"
MM-FN-09,Functional,Fallback,GET /menu/tree fails or returns an empty tree,Medium,"Client falls back to the hardcoded navModules config; server-side equivalent fallback is DEFAULT_MENU_TREE — a tenant never renders a literally empty nav"
MM-NG-01,Negative,Full Replace,PUT /menu without menu.manage,High,403 forbidden
MM-NG-02,Negative,Full Replace,"Submit a payload where a child item appears BEFORE its parent in the items array",Critical,"Confirmed bug: the child is silently promoted to a top-level item with parent_id=null — no error, no rejection"
MM-NG-03,Negative,Full Replace,Submit a parent_id referencing an id not present anywhere in the same items array (stale/deleted/typo'd id),Critical,"Confirmed bug: identical silent top-level promotion as MM-NG-02 — oldIdToNewId.get() returns undefined, coerced to null via ?? null"
MM-NG-04,Negative,Full Replace,Submit two items with the same path value,High,"DB UNIQUE(tenant_id, path) violation mid-transaction, AFTER the tenant's existing menu has already been deleted in the same transaction — verify the rollback leaves no partially-populated menu"
MM-NG-05,Negative,Full Replace,Submit {items: []} (an empty array),High,"Confirmed gap: no schema .min(1) exists — succeeds and wipes the ENTIRE tenant menu; client/server fallback trees are the only thing preventing a blank nav"
MM-NG-06,Negative,Feature Gating,"Disable a module's is_feature_enabled flag, then call that module's underlying API routes directly",Critical,"Confirmed CRITICAL gap: the routes remain fully callable by anyone holding the right permission — contradicts migration 021's own comment stating backend routes should also reject requests when this flag is off"
MM-NG-07,Negative,Full Replace,"Submit a circular parent_id reference (item A -> B, item B -> A)",High,"No cycle-detection exists — resolution is order-dependent and unpredictable rather than rejected with a clear error"
MM-BD-01,Boundary,Full Replace,name/path/icon fields at their DB column-width limits (100/200/50) vs one character over,Low,"At-limit accepted; over-limit only fails at the DB layer since the schema doesn't mirror these widths"
MM-BD-02,Boundary,Hierarchy Depth,Submit a 3rd-level item (a child whose parent is itself a child),Medium,"Confirmed gap: getMenuTree only builds one level of children — a grandchild is silently dropped/orphaned rather than rendered or rejected"
MM-VD-01,Validation,menuItemSchema,Missing name/path/icon,High,400 required-field error
MM-VD-02,Validation,menuReplaceSchema,No minimum-length constraint on the items array,High,"Confirmed gap — duplicate framing of MM-NG-05 at the schema layer"
MM-VD-03,Validation,Field naming round-trip,Submit anyPermission (camelCase) via a non-UI direct API client unaware of the GET response's any_permission (snake_case),Medium,"Confirmed fragility: the round-trip conversion is handled only by the SettingsPage UI code, not by the schema/API itself"
MM-UI-01,UI,SettingsPage,Menu Management tab visibility,Medium,Visible only to menu.manage holders
MM-UI-02,UI,SettingsPage,Move a child item above its own parent using the up arrow, then Save,Critical,"Confirmed exploitable: no client-side validation catches this before submission — directly triggers the MM-NG-02 server-side silent-orphaning bug"
MM-UI-03,UI,SettingsPage,Attempt to add a new menu item or delete an existing one,Medium,"Confirmed gap: neither capability exists in the UI — only existing rows can be reordered/toggled/renamed"
