Test ID,Category,Feature,Scenario,Priority,Expected Result
RP-FN-01,Functional,Catalog,GET /reports/catalog,High,"Only reports visible to the caller's permissions are returned, each flagged with its stub status"
RP-FN-02,Functional,Dashboard,GET /reports/dashboard/summary with at least one qualifying reports.*.view.* permission,High,KPI/dashboard aggregate data returned
RP-FN-03,Functional,Table Report,GET /:reportId/data for a real table-mode report,High,Paginated, sorted rows returned matching the registry's declared columns
RP-FN-04,Functional,Bespoke Report,GET /:reportId/data for a bespoke-mode report (e.g. attendance-trend),High,Aggregate JSON shape (e.g. chart-ready buckets) returned instead of a row table
RP-FN-05,Functional,Export CSV,GET /:reportId/export (default format),High,CSV file streamed matching on-screen columns
RP-FN-06,Functional,Export Excel,GET /:reportId/export?format=xlsx,Medium,XLSX file streamed correctly
RP-FN-07,Functional,Export PDF,GET /:reportId/export?format=pdf,Medium,PDF file streamed correctly
RP-FN-08,Functional,Favorites,Favorite then retrieve a report via POST/GET /reports/favorites,Medium,Favorited report id persists and appears in the favorites list
RP-FN-09,Functional,Favorites,Remove a favorite,Low,Report id removed from the favorites list
RP-FN-10,Functional,Saved Filters,Save a named filter set and retrieve it,Medium,Filter JSON persists and round-trips correctly
RP-FN-11,Functional,Saved Filters,Delete a saved filter,Low,Removed from the list
RP-FN-12,Functional,Scope Resolution,Verify own/team/all precedence across attendance/payroll/leave/employee categories,Critical,"resolveScope consistently picks the highest scope held (.all > .team > .own) via the single centralized helper"
RP-FN-13,Functional,Stub Reports,Request attendance-regularization/compliance-overview/audit-trail via /data,Medium,"Returns {rows:[], total:0, stub:true} with no query ever executed"
RP-FN-14,Functional,Organization Category,Request any org-* report as a flatPermission holder,Medium,"Tenant-wide data returned with no own/team/all scoping applied — confirmed correct opt-out design"
RP-FN-15,Functional,Export Cap,Export a report with more than 50,000 matching rows,High,"Output is capped at 50,000 rows with a visible ""Export truncated at 50000 rows"" marker appended, not a silent cutoff"
RP-FN-16,Functional,Drill-Down,Click a bar on one of the 4 drill-down-enabled dashboard summaries,Medium,Navigates into employee-master pre-filtered by the clicked dimension
RP-NG-01,Negative,Data,GET /:reportId/data for an unknown reportId,High,404 not found
RP-NG-02,Negative,Data,GET /:reportId/data for a report the caller has no scope for,High,403 forbidden
