Test ID,Category,Feature,Scenario,Priority,Expected Result
LV-FN-01,Functional,Leave Application,Employee applies for their own leave with valid type/dates,High,"201, leave created with status Pending"
LV-FN-02,Functional,Leave Application,HR/admin applies leave for another employee via leaves.apply.any,High,"Leave auto-approved immediately (isAdminSubmission), status='Approved'"
LV-FN-03,Functional,Leave Application,Apply for a leave with an end_date in the past,High,"Auto-approved (isPastLeave), not blocked"
LV-FN-04,Functional,Flexi Holiday,Apply for a Flexi Holiday within the 2/year cap,Medium,"Auto-approved unconditionally, skips balance check, notification always sent"
LV-FN-05,Functional,Leave List,View own leaves (leaves.view.own),High,Only the caller's own leave rows returned
LV-FN-06,Functional,Leave List,View team leaves (leaves.view.team) as a manager,High,"Own leaves plus direct reports' leaves only (not recursive subtree)"
LV-FN-07,Functional,Leave List,View all leaves (leaves.view.all),High,"Tenant-wide leave rows returned, excluding any super_admin rows"
LV-FN-08,Functional,Approval,Approve a Pending leave (leaves.approve),High,"Status transitions to Approved; owner notified"
LV-FN-09,Functional,Approval,Reject a Pending leave,High,"Status transitions to Rejected; owner notified"
LV-FN-10,Functional,Cancellation,Employee cancels their own Pending or Approved leave,High,"Status transitions to Cancelled; manager/admins notified"
LV-FN-11,Functional,Cancellation,HR cancels another employee's leave via leaves.cancel.any,High,Status transitions to Cancelled
LV-FN-12,Functional,Voice Commands,APPROVE_LEAVE / REJECT_LEAVE voice intent for a matching Pending leave,Medium,Status updated via the same underlying repository call
LV-FN-13,Functional,Half-Day Leave,Apply a half-day leave,High,Counted as exactly 0.5 day in balance/usage math
LV-FN-14,Functional,Leave Balance,Leave-balance widget shows Allocated vs Used per configured type,Medium,Values match the underlying day-counting formula for the current year
LV-FN-15,Functional,Leave Allocations Config,Admin configures leave_allocations via Settings > General,Medium,"Saved to the tenant's settings JSON, gated by general.settings.manage"
LV-FN-16,Functional,Notifications,Manager notified when a subordinate applies for leave (target holds leaves.notify_on_apply),Medium,Notification created for the applicant's manager_id
LV-FN-17,Functional,Notifications,All super_admins notified when the applicant has no manager_id,Medium,Notification fanned out to every super_admin in the tenant
LV-FN-18,Functional,Notifications,Owner notified when their leave is approved/rejected via the PATCH endpoint,High,"status_update notification created for leave.user_id"
LV-FN-19,Functional,Attendance Integration,Approved leave surfaced on the Attendance monthly calendar,High,"Returned as a separate leaves[] array alongside attendance[]; no attendance row is ever written for a leave day"
LV-FN-20,Functional,Payroll Integration,Approved leave days included in a payroll run's paidLeaveDays,High,"Overlapping Approved leave days subtracted from LOP calculation for the affected cycle"
LV-NG-01,Negative,Leave Application,Apply for another user without leaves.apply.any,High,"403 ""You do not have permission to apply for other employees."""
LV-NG-02,Negative,Leave Application,Apply with a nonexistent user_id,High,"404 ""User not found"""
LV-NG-03,Negative,Leave Application,Apply for an Earned/Paid-type leave while within the probation period,High,"400 ""Earned/Paid Leave is not available during your probation period."""
LV-NG-04,Negative,Leave Application,"Apply during probation for a custom type whose name merely CONTAINS ""paid"" (e.g. an ""Unpaid"" type)",High,"Confirmed naming-collision gap: incorrectly blocked by the same string-contains check intended only for Earned/Paid leave"
LV-NG-05,Negative,Leave Application,Apply with start_date or end_date falling on a Sunday or a configured holiday,High,"400 ""You cannot select a Sunday or Holiday as start/end date."""
LV-NG-06,Negative,Leave Application,Apply with dates overlapping an existing Pending or Approved leave for the same user,High,"409 ""You already have a leave request overlapping these dates"""
LV-NG-07,Negative,Flexi Holiday,Apply for a 3rd Flexi Holiday in the same calendar year,High,"400 ""Flexi Holiday limit reached (Max 2 per year)"""
LV-NG-08,Negative,Leave Application,Apply for more days than the remaining allocation for that type,High,"400 ""Insufficient leave balance"""
LV-NG-09,Negative,Leave Application,Apply using a type string not present in settings.leave_allocations,High,"Confirmed gap: balance check is skipped entirely — leave created with no day-limit enforcement whatsoever"
LV-NG-10,Negative,Leave Application,Apply with end_date earlier than start_date,Critical,"Confirmed gap: no validation anywhere (schema or route) — produces a negative/zero day count that silently corrupts balance-used math, and the row persists with no DB constraint blocking it"
LV-NG-11,Negative,Status Update,PATCH /leaves/:id with status='Pending',Medium,400 — Zod enum deliberately excludes 'Pending' as a settable value
LV-NG-12,Negative,Approval,Approve or reject a leave not currently in Pending status,High,"409 ""Cannot approve/reject a leave request that is already {status}"""
LV-NG-13,Negative,Cancellation,Cancel a leave not currently in Pending or Approved status,High,"409 ""Cannot cancel a leave request that is already {status}"""
LV-NG-14,Negative,Cancellation,Cancel another employee's leave without leaves.cancel.any,High,403 forbidden
LV-NG-15,Negative,Approval,Approve/reject without leaves.approve,High,403 forbidden (inline check — route has no middleware-level guard)
LV-NG-16,Negative,Leave Application,Apply without leaves.apply.own or leaves.apply.any,High,403 forbidden
LV-NG-17,Negative,Leave List,View leaves without any of leaves.view.own/.team/.all,High,403 forbidden
LV-NG-18,Negative,Approval,"A leaves.approve holder approves/rejects their OWN Pending leave (self-approval)",Critical,"Confirmed gap: succeeds — no ownership comparison exists in the approve/reject branch at all"
LV-NG-19,Negative,Cancellation,Cancel an Approved leave that has already started or already completed via a direct API call,High,"Confirmed gap: succeeds — the ""hasn't started yet"" restriction exists only in the LeaveCancellationPage client filter, never enforced server-side"
LV-NG-20,Negative,Concurrency,Fire two concurrent POST /leaves for the same user with identical/overlapping dates,High,"Confirmed race-condition risk: no unique index or transactional isolation prevents both from passing the app-layer overlap check before either commits"
