Test ID,Category,Feature,Scenario,Priority,Expected Result
RB-FN-01,Functional,Permissions Catalogue,GET /roles/permissions,High,"Full permission catalogue returned (id, code, module, description), ordered by module then code"
RB-FN-02,Functional,Roles List,GET /roles,High,"Each role returned with id, code, name, description, is_system, live user_count, and permissions[] array"
RB-FN-03,Functional,Role Creation,POST /roles with name only,High,"Role created with a derived code (slugified name), zero permissions, is_system=0"
RB-FN-04,Functional,Role Creation,POST /roles with cloneFromRoleId pointing to a role in the same tenant,High,New role created with the source role's permission set copied
RB-FN-05,Functional,Role Permissions,PUT /roles/:id/permissions full-replace,High,"Prior permissionCodes fully replaced with the new set atomically"
RB-FN-06,Functional,Role Deletion,DELETE /roles/:id for a non-system role,High,"Role deleted; associated role_permissions and user_roles rows cascade-removed"
RB-FN-07,Functional,User Role Assignment,PUT /users/:id/roles with multiple roleIds,High,"user_roles fully replaced; effective permissions become the union of all assigned roles"
RB-FN-08,Functional,Employee Creation,Create a new employee with an explicit roleId,High,user_roles seeded immediately at creation time (no separate call needed)
RB-FN-09,Functional,Login,POST /auth/login issues an access token,High,Token's permissions claim matches the live DB union (getPermissionCodesForUser) at login time
RB-FN-10,Functional,Refresh,POST /auth/refresh re-signs the access token,High,New token's permissions claim reflects the CURRENT DB state at refresh time (not the old token's snapshot)
RB-FN-11,Functional,Multi-Role Union,User assigned two roles with non-overlapping permission sets,High,"Effective permissions = union of both sets, deduplicated (DISTINCT in the union query)"
RB-FN-12,Functional,Tenant Provisioning,Provision a brand-new tenant,High,"New tenant's default roles (employee/manager/hr/super_admin/payroll_admin/attendance_admin) exist with the same permission sets migration 030 defines for existing tenants"
RB-FN-13,Functional,Roles UI,Settings > Roles & Permissions tab renders permissions grouped by module in accordions,Medium,Each module's permissions grouped together as checkboxes
RB-FN-14,Functional,Employees UI,"""Manage Roles"" dialog on the Employees page",Medium,Multi-select checkbox list of all tenant roles saves via PUT /users/:id/roles
RB-NG-01,Negative,Role Creation,"Create a role whose name normalizes to an existing role's code (e.g. ""Finance Approver!"" vs ""finance approver"")",Critical,"Confirmed gap: no isUniqueViolation handling on this route — surfaces as an unhandled 500 with the raw SQL UNIQUE-constraint error, not a clean 409"
RB-NG-02,Negative,Role Creation,POST /roles with cloneFromRoleId referencing a role belonging to a DIFFERENT tenant,High,"Confirmed gap: silently no-ops — new role is created with zero permissions and no error, rather than 404"
RB-NG-03,Negative,Role Permissions,PUT /:id/permissions with unknown/misspelled permission codes,Medium,"Confirmed gap: 200 success returned, but codes not matching the permissions table are silently dropped with no warning"
RB-NG-04,Negative,Role Deletion,DELETE /:id on the system role (is_system=1),High,"400 ""System roles cannot be deleted"""
RB-NG-05,Negative,Role Access,PUT /:id/permissions or DELETE /:id for a role belonging to another tenant,High,"404 ""Role not found"""
RB-NG-06,Negative,User Role Assignment,PUT /users/:id/roles with a roleId not belonging to the caller's tenant,High,"404 ""One or more roles not found"""
RB-NG-07,Negative,User Role Assignment,PUT /users/:id/roles targeting a nonexistent or foreign-tenant user,High,"404 ""User not found"""
RB-NG-08,Negative,Permission Guards,Call GET /permissions, GET /roles, POST /roles, PUT .../permissions, or DELETE without roles.view/roles.manage,Critical,403 forbidden on each
RB-NG-09,Negative,Employee Creation,Create a user without selecting an explicit role and with no matching legacy role-code fallback,High,"Confirmed gap: user created silently with zero user_roles rows (zero permissions), no error surfaced"
RB-NG-10,Negative,Role Permissions,"Strip roles.manage from the only role that grants it (including the protected system role) via PUT /:id/permissions",Critical,"Confirmed critical gap: succeeds with no server-side protection — can lock the tenant out of Roles administration; contrast with the explicit self-protection on PATCH /users/:id/status"
