Test ID,Category,Feature,Scenario,Priority,Expected Result
AT-FN-01,Functional,Check-in,Employee check-in via Manual method (office),High,"200, attendance row created with status Present/Late per shift grace period, checkInTime = server time"
AT-FN-02,Functional,Check-in,Employee check-in via WFH work mode with location shared,High,"200, work_mode='WFH' stored, location_lat/lng saved if geofence configured"
AT-FN-03,Functional,Check-in,Employee check-in via ClientVisit with clientName,High,"200, client_name persisted, notes optional"
AT-FN-04,Functional,Check-in,Employee check-in via FieldWork,Medium,"200, work_mode='FieldWork' stored"
AT-FN-05,Functional,Break,Start a break mid-shift,High,"200, attendance_breaks row created with break_start"
AT-FN-06,Functional,Break,Resume from an open break,High,"200, break_end set on the open attendance_breaks row"
AT-FN-07,Functional,Check-out,Check-out with workSummary text,High,"200, check_out_time set, worked_minutes/overtime_minutes/is_early_exit computed"
AT-FN-08,Functional,Status,GET /today-status for self,Medium,"Returns whether caller already has a row today, break list, onBreak flag"
AT-FN-09,Functional,Policy,GET /my-policy when a policy is assigned,Medium,Returns policy + parsed allowed_methods array
AT-FN-10,Functional,Policy,GET /my-policy when unassigned,Medium,"Returns {policy: null, allowedMethods: ['Manual']}"
AT-FN-11,Functional,Monthly view,Self views own monthly attendance,High,"Returns {attendance, leaves, holidays} for the month"
AT-FN-12,Functional,Monthly view,Manager/HR with attendance.view.team views a team member's monthly attendance,High,"200, data returned for target user"
AT-FN-13,Functional,Today view,GET /today (tenant-wide today attendance),Medium,All attendance rows for today across the tenant returned
AT-FN-14,Functional,Attendance Policies,"Create, edit, delete a policy; assign to user; clear assignment with policyId=null",High,"CRUD succeeds; PUT /assign/:userId with null clears users.attendance_policy_id"
AT-FN-15,Functional,Work Modes,CRUD work modes and assign a default work mode to an employee,Medium,"CRUD succeeds; PUT /assign/:userId sets users.default_work_mode_id"
AT-FN-16,Functional,Shifts,Create/edit/delete shifts of each shift_type (General/Flexible/Night/Rotational/Split),High,CRUD succeeds with type-specific fields persisted correctly
AT-FN-17,Functional,Shifts,Assign a shift to an employee,High,"New open assignment created, prior open assignment auto-closed (effective_to = new effective_from - 1 day)"
AT-FN-18,Functional,Shifts,View assignment history for a user,Medium,Chronological list of past + current assignments returned
AT-FN-19,Functional,Face Attendance,Enroll a face embedding for a user (kiosk),High,"200, embedding + modelVersion stored"
AT-FN-20,Functional,Face Attendance,Kiosk face check-in with confidence >= MIN_FACE_CONFIDENCE,High,"200, attendance row created via same attendanceEngine.recordCheckIn path with method='Face'"
AT-FN-21,Functional,Kiosk Devices,Create/list/rotate-key/set status of kiosk devices,Medium,CRUD + key rotation + Active/Revoked status transitions succeed
AT-FN-22,Functional,Kiosk Devices,View/update kiosk app config,Low,Kiosk app URL config updated
AT-FN-23,Functional,Overtime,Checkout triggers overtime entry when ot_enabled and overtime_minutes > 0,High,"overtime_entries row auto-created, status Pending if ot_requires_approval else Approved"
AT-FN-24,Functional,Attendance Rules,Update org-wide attendance_rules setting (weekly_off_days/nth_saturdays_off/required_for_roles),Medium,Setting persisted and reflected across dashboards/AppShell popup
AT-FN-25,Functional,Reports,Generate each attendance report (daily/monthly/summary/late-arrival/early-exit/missing-checkin/missing-checkout/wfh/hybrid/field-visit/face-recognition/shift/overtime/trend) with valid filters,Medium,Correct filtered rows/columns returned per report definition
AT-NG-01,Negative,Check-in,Check-in with a method not in the assigned policy's allowed_methods,High,"403 ""Your attendance policy does not permit the ${method} method."""
AT-NG-02,Negative,Check-in,Check-in with a non-Manual method when no policy is assigned,High,"403 ""No attendance policy is assigned to you yet — contact HR."""
AT-NG-03,Negative,Check-in,Check-in with date before effectiveStartDate,High,"400 ""Attendance check-in is not available for this period."""
AT-NG-04,Negative,Check-in,Check-in with date equal to the user's own joining/tracking-start day,Medium,"400 ""You can start check-in from the system by tomorrow, make sure to login everyday."""
AT-NG-05,Negative,Check-in,Geofenced policy - check-in with no lat/lng sent,High,"400 ""Location is required for this attendance method."""
AT-NG-06,Negative,Check-in,Geofenced policy - check-in from outside the configured radius,High,"400 ""You are outside the allowed location range for this attendance method."""
AT-NG-07,Negative,Check-in,Second check-in attempt same day,High,"400 ""Already checked in for today"" (DB unique-violation caught)"
AT-NG-08,Negative,Check-out,Check-out with no existing today row,High,"400 ""You have not checked in today yet."""
AT-NG-09,Negative,Break,Start break when a break is already in progress,Medium,"400 ""A break is already in progress."""
AT-NG-10,Negative,Break,Resume when no break is in progress,Medium,"400 ""No break is currently in progress."""
AT-NG-11,Negative,Monthly view,View another user's monthly attendance without attendance.view.team,High,403 forbidden
AT-NG-12,Negative,Shifts,Create shift with a name already used in the tenant,High,409 duplicate-name conflict (UQ_shifts_tenant_name)
AT-NG-13,Negative,Shifts,Delete a shift referenced by an employee_shift_assignments row,High,409 conflict (isShiftReferenced)
AT-NG-14,Negative,Work Modes,Delete a work mode referenced as a user's default or on an attendance row,High,409 conflict (isWorkModeReferenced)
AT-NG-15,Negative,Attendance Policies,Assign a nonexistent policyId to a user,Medium,404/400 error
AT-NG-16,Negative,Face Attendance,Kiosk face check-in with confidence below MIN_FACE_CONFIDENCE (0.45),High,422 rejected regardless of kiosk-side threshold
