Test ID,Category,Feature,Scenario,Priority,Expected Result
VC-FN-01,Functional,Intent Parsing,POST /voice/intent with a clear transcript (""approve leave for John tomorrow""),High,"Returns {transcript, intent:'APPROVE_LEAVE', entities:{user, date}} with correctly resolved entities"
VC-FN-02,Functional,Execute,POST /voice/execute for APPROVE_LEAVE with valid resolved entities,High,"Leave approved via the same underlying updateLeaveStatus call as the manual PATCH path"
VC-FN-03,Functional,Execute,POST /voice/execute for REJECT_LEAVE,High,Leave rejected correctly
VC-FN-04,Functional,Execute,POST /voice/execute for ADD_HOLIDAY,Medium,"Holiday created with the hardcoded literal name ""Voice Generated Holiday"" at the resolved location"
VC-FN-05,Functional,Confirmation,Any modifying intent (APPROVE_LEAVE/REJECT_LEAVE/CANCEL_LEAVE/ADD_HOLIDAY/ADD_LOCATION/CHANGE_CATEGORY) is parsed,High,"VoiceConfirmationModal appears with a human-readable description; /execute is never called until Confirm is explicitly clicked"
VC-FN-06,Functional,Non-Modifying Intents,SHOW_TEAM or NEXT_HOLIDAY parsed,Medium,"Client navigates immediately (to /employees or /holidays) without any confirmation modal, and without ever calling /voice/execute"
VC-FN-07,Functional,Date NLU,Transcript containing a relative date expression (""tomorrow"", ""next Monday""),High,"chrono-node correctly resolves it to a YYYY-MM-DD entities.date"
VC-FN-08,Functional,User Matching,Transcript with an exact, unambiguous employee name,Medium,Fuse fuzzy-match resolves to the correct single user
VC-NG-01,Negative,Execute,POST /voice/execute for CANCEL_LEAVE,High,"Confirmed functional gap: always 400 ""Unknown execution intent"" — parsed and even confirmable via the modal, but never actually implemented server-side"
VC-NG-02,Negative,Execute,POST /voice/execute for CHANGE_CATEGORY,High,"Confirmed functional gap: identical 400 fallthrough as CANCEL_LEAVE"
VC-NG-03,Negative,Execute,POST /voice/execute for ADD_LOCATION,Medium,"Always 400 ""Adding unknown locations via voice is not fully supported yet"" — a permanent dead end by design"
VC-NG-04,Negative,Intent Parsing,Transcript matching no known keyword,Medium,"intent='UNKNOWN' returned with 200 (not an error); client falls back to its own separate keyword-navigation table, and if that also fails, nothing happens with zero user-visible feedback"
VC-NG-05,Negative,Execute,Entity extraction fails to resolve any user (no id),High,"400 ""Missing employee information"""
VC-NG-06,Negative,Execute,No Pending leave found for the resolved user/date combination,High,"404 ""No pending leave found for {name} on that date"" — note the name shown is the fuzzy-matched result, which may be misleading if the match itself was wrong"
VC-NG-07,Negative,Permission,Call /voice/intent or /voice/execute without voice.use,Critical,"403 server-side, but the frontend shows NO visible error at all — confirmed gap: the mic silently appears to do nothing for a permission-less user"
VC-NG-08,Negative,Permission,Approve/reject leave via voice without leaves.approve,High,403 inline check (same as the manual PATCH path's guard)
VC-NG-09,Negative,Permission,Add a holiday via voice without holidays.manage,High,403 inline check
VC-NG-10,Negative,Fuzzy Match Accuracy,Speak/type a misspelled or ambiguous employee name,Critical,"Confirmed critical gap: Fuse silently picks a single best-score winner with NO disambiguation prompt — a misheard name can resolve to the WRONG employee with no warning"
VC-NG-11,Negative,Payload Tampering,Craft a direct POST /voice/execute payload with a fabricated entities.user.id (bypassing the fuzzy matcher entirely),Critical,"Only defenses are the voice.use/leaves.approve permission checks plus the Pending-status and tenant-scoped WHERE clauses in findPendingLeaveForUser/updateLeaveStatus — no nonce/signature ties the payload back to a genuine /voice/intent response"
VC-BD-01,Boundary,Fuzzy Match Threshold,A name scoring just within vs just outside the 0.3 (primary) / 0.4 (fallback) Fuse thresholds,Medium,"Just-within accepted as a match; just-outside falls through to null/no-match"
VC-BD-02,Boundary,Ambiguous Names,Transcript naming two employees with very similar names,High,"Single best-score winner silently picked — no tie-break or ""did you mean"" branch exists at any threshold boundary"
VC-VD-01,Validation,Execute Body,Confirm no Zod/schema validation exists on POST /voice/execute at all,High,"Confirmed gap: raw destructure and manual if-checks only — no shape validation on intent or entities"
VC-VD-02,Validation,Intent Body,POST /voice/intent with a missing/empty transcript,Medium,"400 rejected (the one manual check that does exist)"
VC-UI-01,UI,Mic Permission Gating,Render the mic icon (TopNav) and Fab (AppShell mobile) for a user without voice.use,Critical,"Confirmed gap: neither is wrapped in a hasPermission('voice.use') check — any authenticated user sees and can click the mic regardless of actual permission"
VC-UI-02,UI,Listening Feedback,Click the mic and speak,Medium,"Icon color changes to indicate active listening; live interim/final transcript shown in a floating tooltip"
VC-UI-03,UI,Processing Gap,Stop speaking after a recognized command,Medium,"Confirmed gap: no distinct ""processing"" state exists between the final transcript being sent and the confirmation modal appearing (or UNKNOWN silently doing nothing) — the user sees nothing happening during this window"
VC-UI-04,UI,Browser Compatibility,Open the app in a browser without the Web Speech API,Medium,"Confirmed gap: the mic button still renders and is clickable; toggleListening() no-ops/throws silently with no ""not supported in this browser"" message shown to the user"
VC-UI-05,UI,Network Error,Trigger a Speech API network error mid-listen,Low,"The only user-visible error path in the hook — a browser alert() is shown"
VC-UI-06,UI,Confirmation Modal Detail,Inspect what the modal actually displays before Confirm,High,"Confirmed gap: only the resolved name/date description is shown — no leave id, date-range, or leave type detail, and no raw-transcript-vs-resolved-entity comparison, so a bad fuzzy match isn't easily caught by the user before confirming"
VC-AP-01,API,POST /voice/intent,Contract check,High,"Returns {transcript, intent, entities} verbatim with no side effects"
VC-AP-02,API,POST /voice/execute,Contract check across every intent/error branch,High,Matches the documented status codes/messages for each case
VC-DB-01,Database Validation,Configuration,Confirm no voice-specific migration/config table exists,Low,"Confirmed — the 3-item leave-category list used by /voice/intent is hardcoded in the route file rather than settings-driven, unlike the rest of the app's leave-type configuration"
VC-SC-01,Security,Fuzzy-Match Candidate Pool (CRITICAL),Confirm the user-matching candidate pool for /voice/intent,Critical,"Confirmed: every tenant user is a candidate (via usersRepo.listIdName), with NO scoping to the requester's team/reports — a materially larger wrong-match surface than any UI dropdown would ever expose"
VC-SC-02,Security,Manager-Scoping Parity,Confirm voice-driven leave approval is not manager-scoped,High,"Consistent with (not a regression from) the manual PATCH /leaves/:id path, which has the same gap — both allow any leaves.approve holder to decide any tenant employee's leave"
VC-SC-03,Security,Notification Gap,Approve/reject a leave or add a holiday via voice,High,"Confirmed: no notification is ever created for either action — notificationsRepo.createNotification is never called anywhere in voice.routes.js"
VC-SC-04,Security,No Intent-Execute Binding,Confirm nothing ties a /voice/execute call back to a specific prior /voice/intent response,High,"Confirmed gap: no nonce, signature, or session-bound token links them — duplicate framing of VC-NG-11 from a security-architecture lens"
VC-SC-05,Security,Injection Resistance,SQL injection payloads via crafted transcript text reaching leavesRepo/holidaysRepo calls,Critical,Parameterized queries prevent injection
VC-PF-01,Performance,Fuzzy Matching,Fuse.js performance against a large tenant user list,Medium,Matching completes within acceptable latency for a responsive voice-command experience
VC-PF-02,Performance,Date Parsing,chrono-node latency for complex natural-language date expressions,Low,Completes within SLA
VC-PM-01,Permission Testing,voice.use,Verify required for both /voice/intent and /voice/execute,Critical,Blocked without this permission (though see VC-UI-01/VC-NG-07 for the frontend gap)
VC-PM-02,Permission Testing,Layered Inline Checks,Verify leaves.approve/holidays.manage are checked IN ADDITION to voice.use per intent,High,Both layers must be satisfied — voice.use alone is insufficient for any modifying intent
VC-PM-03,Permission Testing,Dead Intents,Confirm CANCEL_LEAVE/CHANGE_CATEGORY have no associated permission check since they're never actually executed,Medium,Consistent with their unconditional 400 fallthrough — no permission model gap here, just an unfinished feature
