Test ID,Category,Feature,Scenario,Priority,Expected Result
PR-FN-01,Functional,Salary Components,Create a component of each calculation_type (fixed/percent_ctc/percent_gross/percent_of_component/slab),High,"Component created with type-specific fields persisted"
PR-FN-02,Functional,Salary Components,Update/delete a component,Medium,"Referenced component soft-deactivates ({success:true, deactivated:true}); unreferenced component hard-deletes"
PR-FN-03,Functional,Salary Structures,Create/update/delete a salary structure,High,CRUD succeeds
PR-FN-04,Functional,Salary Structures,Replace a structure's components via PUT /structures/:id/components,High,Full component list replaced atomically with override_value/sort_order applied
PR-FN-05,Functional,Salary Grades,Create/update/delete a salary grade,High,CRUD succeeds with code/name/min-mid-max amounts persisted
PR-FN-06,Functional,Salary Grades,View a grade's associated structures via GET /:id/structures,Medium,Correct linked structures returned
PR-FN-07,Functional,Salary Assignment,Assign a salary (structure/CTC/effective_from) to an employee,High,"New open assignment created; prior open assignment auto-closed (effective_to = new effective_from - 1 day)"
PR-FN-08,Functional,Salary Assignment,View salary assignment history for a user (?userId=),Medium,Full chronological history of assignments returned
PR-FN-09,Functional,Payroll Run,Create a payroll run for a period,High,"Run created with status Draft, cycle_start/end_date computed"
PR-FN-10,Functional,Payroll Run,Process a Draft/Processing run,High,"Lines computed via computeRunLines and saved; status set to Processing"
PR-FN-11,Functional,Payroll Run,Re-process (recompute) a Draft/Processing run,Medium,"Prior lines wiped and rewritten idempotently, reflecting any data changes since first process"
PR-FN-12,Functional,Payroll Run,Approve a Processing run,High,Status transitions to Approved
PR-FN-13,Functional,Payroll Run,Pay an Approved run,High,"Status transitions to Paid; all payslips in the run are published"
PR-FN-14,Functional,Payroll Run,Cancel a Draft/Processing run,Medium,"Status transitions to Cancelled; consumed overtime entries released (payroll_run_id cleared)"
PR-FN-15,Functional,Payroll Run,Export an Approved/Paid run as CSV,High,CSV downloaded with the documented column set
PR-FN-16,Functional,Payroll Run,Publish all payslips for a run,Medium,All payslips in the run marked is_published=true
PR-FN-17,Functional,Overtime,Apply an overtime entry (employee/manager),High,Entry created with status Pending
PR-FN-18,Functional,Overtime,Approve/reject an overtime entry (manager, not the claimant),High,Status updated to Approved/Rejected
PR-FN-19,Functional,Payslips,View own/team/all payslips per permission scope,High,Correct scoped list returned
PR-FN-20,Functional,Payslips,Publish an individual payslip,Medium,is_published set true for that payslip
PR-FN-21,Functional,Payslips,View a payslip detail (marks it viewed),Medium,first_viewed_at set on first view; view_count increments on each view
PR-FN-22,Functional,Payroll Settings,View/update payroll settings (pay cycle/OT multiplier/rounding rule),Medium,Settings JSON persisted and reflected in subsequent runs
PR-FN-23,Functional,Payroll Reports,View dashboard summary/component-breakdown/trend,Medium,Correct aggregate data returned
PR-FN-24,Functional,LOP Calculation,Verify lopDays = clamp(workingDays - presentDays - paidLeaveDays, 0, workingDays) across a run,Critical,LOP and prorationFactor computed correctly for a representative employee
PR-FN-25,Functional,Overtime Pay,Verify OT amount uses the unprorated base component rate x standard_monthly_hours x ot_rate_multiplier,High,"OT rate unaffected by that month's own LOP proration, per design"
PR-NG-01,Negative,Salary Components/Structures/Grades,Create with a code/name already used in the tenant,High,409 duplicate conflict
PR-NG-02,Negative,Salary Grades,Delete a grade referenced by a structure or an active assignment,High,"409 ""linked to a structure or employee assignment"""
PR-NG-03,Negative,Salary Structures,Delete a structure referenced by employee_salary_assignments,High,409 conflict
PR-NG-04,Negative,Salary Grades,Create/update a grade with min_amount greater than max_amount,Critical,"Confirmed gap: no Zod or route-layer check exists — request hits the raw DB CK_salary_grades_range violation and surfaces as an unhandled 500, not a friendly 400"
PR-NG-05,Negative,Salary Assignment,Submit without user_id/structure_id/effective_from,High,400 required-field validation error
PR-NG-06,Negative,Salary Assignment,Submit a negative ctc_annual,Medium,"No Zod floor exists — only the DB CHECK (ctc_annual>=0) rejects it, likely surfacing as an unhandled error rather than 400"
PR-NG-07,Negative,Payroll Run,Create with period_month outside 1-12,High,400 manual range-check error
PR-NG-08,Negative,Payroll Run,Create a run for a period that already exists for the tenant,High,409 duplicate-period conflict
PR-NG-09,Negative,Payroll Run,Call /process on a run already Approved,High,409 conflict — processing only allowed from Draft/Processing
PR-NG-10,Negative,Payroll Run,Process a run when an actively-assigned employee is missing required banking fields,High,"400 listing the missing employees by name (assertBankingComplete)"
PR-NG-11,Negative,Payroll Run,Call /approve on a run not in Processing status,High,409 conflict
PR-NG-12,Negative,Payroll Run,Call /pay on a run not in Approved status,High,409 conflict
PR-NG-13,Negative,Payroll Run,Two concurrent /approve or /pay calls on the same run,High,"Second call gets 409 ""status changed concurrently"" via optimistic-concurrency check (rowsAffected=0)"
PR-NG-14,Negative,Payroll Run,Export a run not in Approved/Paid status,High,"409 ""approve it first"""
PR-NG-15,Negative,Payroll Run,Call process/approve/pay/cancel/export without the matching permission,Critical,403 forbidden on each
PR-NG-16,Negative,Overtime,Submit a duplicate (tenant,user,date) overtime entry,Medium,409 conflict
PR-NG-17,Negative,Overtime,Submit hours outside the (0,24] range,Medium,DB CHECK violation (not mirrored in Zod — same unhandled-error risk as PR-NG-04/06)
PR-NG-18,Negative,Overtime,Manager attempts to approve/reject their own submitted overtime entry,Critical,"403 ""cannot approve or reject your own"""
PR-NG-19,Negative,Overtime,PATCH an entry that is already reviewed or already claimed by a payroll run,High,400 conflict
PR-NG-20,Negative,Payroll Run,Attempt GET /payroll/runs holding only payroll.view.all (no process/approve),High,"403 — view.* permissions do not grant run-level access, only payslip access"
PR-NG-21,Negative,Payroll Settings,POST /settings/bulk for payroll_settings without payroll.settings.manage,High,"403 ""Missing permission to update \""payroll_settings\"""""
PR-NG-22,Negative,Salary Components,Create a percent_of_component component with no base_component_id,Medium,Not caught by Zod — DB CK_salary_components_base_required is the only floor
PR-NG-23,Negative,Salary Components,Create a chain of percent_of_component components with a circular reference,High,"400 ""circular or missing base_component_id"" at run-computation time"
PR-NG-24,Negative,Payslips,Request another user's payslip without team/all scope,High,403 forbidden
PR-NG-25,Negative,Payslips,Request an unpublished payslip without manage permission,High,"404 ""Payslip not yet available"" (not 403 — deliberately non-revealing)"
PR-BD-01,Boundary,Payroll Run,period_month at exactly 1 and 12 vs 0 and 13,High,"1 and 12 accepted, 0 and 13 rejected by the manual range check"
PR-BD-02,Boundary,Payroll Run,period_year at extreme values (e.g. 99999 or -5),Medium,"Confirmed gap: no bounds check exists anywhere (Zod or DB) — such values are accepted"
PR-BD-03,Boundary,Salary Assignment,ctc_annual at exactly 0 vs a small negative value,Medium,"0 accepted; negative only blocked by DB CHECK (no Zod floor)"
