Test ID,Category,Feature,Persona/Fixture,Scenario,Expected Result,Priority,Ref
ATE-SM-01,Smoke,Check-in,employeeSelf,Employee checks in via Manual (Office) method on a normal working day,"Success toast (""Checked in""); card switches to checked-in state with method badge 'Manual'",Critical,AT-FN-01
ATE-SM-02,Smoke,Check-out,employeeSelf,Checked-in employee checks out with no work summary,"Success toast; worked-time timer stops; Check-in button reappears for status only (not re-checkinable today)",Critical,AT-FN-07
ATE-SM-03,Smoke,Monthly View/Calendar,employeeSelf,Employee opens Attendance page and views current month's calendar,"Calendar renders with today highlighted, stat cards (Present/Leave/Absent/Rate) populated",Critical,AT-FN-11
ATE-SM-04,Smoke,Shifts,admin,Admin creates a new General-type shift with valid fields,"Success toast; new shift appears in Shifts list",Critical,AT-FN-16
ATE-SM-05,Smoke,Work Modes,admin,Admin creates a new Work Mode with unique code,"Success toast; new work mode appears in list",Critical,AT-FN-15
ATE-SM-06,Smoke,Attendance Policies,admin,Admin creates a new Attendance Policy (OfficeOnly type) and assigns it to a seeded employee,"Success toast on create and on assign; policy's Assigned count increments",Critical,AT-FN-14
ATE-SM-07,Smoke,Monthly View/Calendar,manager,Manager selects a team member via 'Viewing for' and views their monthly attendance,"Data loads for the selected employee, not the manager's own",Critical,AT-FN-12
ATE-SM-08,Smoke,AppShell Popup,employeeSelf,"Eligible, not-checked-in user loads any page other than /attendance or /login","Missed-checkin popup renders; clicking it navigates to /attendance and dismisses",High,AT-UI-14
ATE-PS-01,Positive,Check-in,employeeSelf,Check in via WFH work mode with 'Share my current location' enabled and browser geolocation granted,"Success toast; work_mode badge shows WFH; location captured silently",High,AT-FN-02
ATE-PS-02,Positive,Check-in,employeeSelf,Check in via Client Visit with clientName and notes filled,"Success toast; client name and notes visible on the checked-in card",High,AT-FN-03
ATE-PS-03,Positive,Check-in,employeeSelf,Check in via Field Work,"Success toast; work_mode badge shows FieldWork",Medium,AT-FN-04
ATE-PS-04,Positive,Break,employeeSelf,Checked-in employee starts a break,"Break/Resume toggle flips to 'Resume'; timer pauses accumulating worked time",High,AT-FN-05
ATE-PS-05,Positive,Break,employeeSelf,Employee on break clicks Resume,"Toggle flips back to 'Break'; AttendanceTimeline shows break_start and break_end events",High,AT-FN-06
ATE-PS-06,Positive,Check-out,employeeSelf,Check out from a non-Office work mode with a free-text work summary,"Success toast; work summary persisted and visible in History table's Client/Notes column",Medium,AT-FN-07
ATE-PS-07,Positive,Status,employeeSelf,Reload the Attendance page mid-day after already checking in,"Card correctly rehydrates to checked-in state from GET /today-status, not a stale not-checked-in state",Medium,AT-FN-08
ATE-PS-08,Positive,Attendance Policy,employeeSelf,View own policy via My Policy when a policy is assigned,"Allowed check-in method buttons match the assigned policy's allowed_methods exactly",Medium,AT-FN-09
ATE-PS-09,Positive,Attendance Policy,employeeSelf,View check-in options when no policy is assigned,"Only the Manual (Office) button renders; no WFH/ClientVisit/FieldWork buttons shown",Medium,AT-FN-10
ATE-PS-10,Positive,Shifts,admin,Create one shift of each type: General/Flexible/Night/Rotational/Split,"Each type-specific field set renders and persists correctly (Split windows, Night overnight flag, etc.)",High,AT-FN-16
ATE-PS-11,Positive,Shifts,admin,Edit an existing shift's grace_period_minutes and expected_work_minutes,"Success toast; updated values reflected in the list",Medium,AT-FN-16
ATE-PS-12,Positive,Shifts,admin,Assign a shift to an employee who currently has no shift assigned,"Success toast; assignment appears as open-ended (no effective_to) in assignment history",High,AT-FN-17
ATE-PS-13,Positive,Shifts,admin,Assign a new shift to an employee who already has an open shift assignment,"New assignment created open-ended; prior assignment's effective_to auto-set to (new effective_from - 1 day)",High,AT-FN-17
ATE-PS-14,Positive,Shifts,admin,View assignment history for an employee with 2+ past assignments,"Chronological list shown, most recent (open) assignment clearly distinguished from closed ones",Medium,AT-FN-18
ATE-PS-15,Positive,Work Modes,admin,Edit a Work Mode's name/description and toggle is_active off,"Success toast; Inactive badge appears in list",Medium,AT-FN-15
ATE-PS-16,Positive,Work Modes,admin,Assign a default Work Mode to an employee,"Success toast; assignment persisted (verify via employee profile or re-open assign dialog)",Medium,AT-FN-15
ATE-PS-17,Positive,Attendance Policies,admin,Edit an existing policy's allowed_methods (add a method),"Success toast; updated methods reflected as badges in the grid",Medium,AT-FN-14
ATE-PS-18,Positive,Attendance Policies,admin,Clear a user's policy assignment (assign null),"Success toast; Assigned count decrements; user's My Policy now shows Manual-only fallback",High,AT-FN-14
ATE-PS-19,Positive,Attendance Policies,admin,Bulk-assign a policy to multiple employees via the multi-select Assign dialog with a name filter applied,"Filter narrows the list correctly; Save fires assign calls only for newly selected + clears removed ones; Assigned count matches",Medium,AT-UI-12
ATE-PS-20,Positive,Attendance Rules Settings,admin,"Update Weekly Off Days, Off-Saturdays, and 'Attendance Required For' roles, then Save","Success toast; re-opening Settings shows the saved values",High,AT-FN-24
ATE-PS-21,Positive,Export,employeeSelf,Export the Attendance History table via the DataGrid toolbar,"Download event fires with a CSV file containing the currently loaded/filtered rows",Low,—
ATE-PS-22,Positive,Dashboard Widgets,manager,"View ManagerDashboard's TodaysAttendanceBar and AttendanceMethodBreakdownCard after several team check-ins","Segments/proportions reflect actual today's check-ins for attendance-eligible team members",Medium,AT-UI-15
ATE-RG-01,Regression,Check-in,employeeSelf,"Check in, then immediately check out; verify persisted check_in_time/check_out_time and computed status never disagree even under simulated clock skew (mock Date on the client if server clock cannot be skewed in this env)","check_in_time and any late/early computation are internally consistent (Phase 7 clock-drift fix)",High,—
ATE-RG-02,Regression,Monthly View/Calendar,employeeSelf,"Inspect a date cell that round-trips as an ISO timestamp from the API (e.g. a holiday or attendance date)","Calendar correctly normalizes to date-only comparison; no off-by-one/timezone-shifted day highlighting",High,—
ATE-RG-03,Regression,Monthly View/Calendar,admin,"Set tenant's nth_saturdays_off to a Saturday other than the 2nd (e.g. 1st & 3rd) via Settings, then reload the Attendance calendar for a month containing a 2nd Saturday","KNOWN GAP: calendar still hardcodes the 2nd Saturday as off regardless of setting — expected to FAIL until fixed; document actual vs configured behavior",High,—
ATE-RG-04,Regression,Attendance Rules Settings / Cross-surface,admin then employeeSelf,"Uncheck a role from 'Attendance Required For', save, then check that role's AppShell popup, EmployeeDashboard check-in prompt, and ManagerDashboard KPI denominator all update consistently","All three surfaces (AppShell, EmployeeDashboard, ManagerDashboard) agree — none still treats the opted-out role as required",High,AT-UI-13/14/15
ATE-RG-05,Regression,Attendance Policies,admin,"Delete an Attendance Policy that is currently assigned to an employee, then have that employee attempt to check in","Delete succeeds with only a UI warning (no server block); employee's subsequent check-in degrades to Manual-only rather than erroring",High,—
ATE-RG-06,Regression,Check-out,employeeSelf (or API-seeded),"Simulate a missed checkout by leaving a check-in row open across a day boundary (seed via API in test setup), then check out the next day","worked_minutes capped at 1440 (24h) for display; overtime_minutes forced to 0 even if the shift has ot_enabled",High,AT-BD-04
ATE-RG-07,Regression,Check-in,employeeSelf,Submit two rapid check-in clicks (double-click) on the Check-in button,"Button disables during in-flight request; only one attendance row/check-in results",Medium,AT-UI-01
ATE-RG-08,Regression,Work Modes,admin,Confirm the WorkModesPage compact variant embedded inside SettingsPage behaves identically to the standalone /work-modes page for CRUD,"Both renderings produce the same create/edit/delete outcomes",Low,AT-UI-11
ATE-NG-01,Negative,Check-in,employeeSelf,Attempt a second check-in on a day already checked in (e.g. via direct action replay),"Error toast: 'Already checked in for today'; no duplicate row/UI state change",High,AT-NG-07
ATE-NG-02,Negative,Check-out,employeeSelf,Attempt to check out with no existing open check-in today,"Error surfaced: 'You have not checked in today yet.'; Check-out control not actionable",High,AT-NG-08
ATE-NG-03,Negative,Check-in,employeeSelf,"With a policy that only allows a subset of methods, verify a disallowed method's button is not rendered at all","Disallowed method control absent from the card (not just disabled)",High,AT-NG-01
ATE-NG-04,Negative,Check-in,employeeSelf (no policy),Attempt any method other than Manual when no policy is assigned,"Only Manual button available; no way to trigger the 403 from the UI directly (confirms UI correctly restricts before the API call)",Medium,AT-NG-02
ATE-NG-05,Negative,Check-in,employeeSelf,Open Client Visit dialog and attempt Check-In with clientName left blank,"Check-In button remains disabled; no request sent",High,AT-UI-02
ATE-NG-06,Negative,Check-in,New employee (joining day),Attempt check-in on the exact joining/creation day,"Error: 'You can start check-in from the system by tomorrow...'; no attendance row created",High,AT-NG-04
ATE-NG-07,Negative,Break,employeeSelf,Attempt to start a break while already on break,"Error: 'A break is already in progress.'",Medium,AT-NG-09
ATE-NG-08,Negative,Break,employeeSelf,Attempt to Resume when no break is in progress,"Error: 'No break is currently in progress.'",Medium,AT-NG-10
ATE-NG-09,Negative,Monthly View/Calendar,employeeSelf,Attempt to view another employee's monthly attendance without attendance.view.team,"'Viewing for' selector is absent entirely; no route/UI path exists to reach another user's data",High,AT-NG-11
ATE-NG-10,Negative,Shifts,admin,Create a shift whose name duplicates an existing shift's name in the tenant,"Error toast surfacing the 409 duplicate-name conflict; shift not created",High,AT-NG-12
ATE-NG-11,Negative,Shifts,admin,Attempt to delete a shift currently referenced by an employee_shift_assignments row,"Error/confirm-dialog messaging: 'Shifts assigned to an employee cannot be deleted'; delete blocked",High,AT-NG-13
ATE-NG-12,Negative,Work Modes,admin,Attempt to delete a Work Mode referenced as a user's default or on an attendance row,"409 conflict surfaced in UI; delete blocked",High,AT-NG-14
ATE-NG-13,Negative,Attendance Policies,admin,Attempt to assign a nonexistent/deleted policyId to a user (e.g. via a stale UI state after another tab deleted it),"Error surfaced; assignment not applied",Medium,AT-NG-15
ATE-NG-14,Negative,Check-in,employeeSelf,Attempt to select 'Office' as a work mode via the work-mode selection dialog,"Office is not offered as a selectable option in the WFH/ClientVisit/FieldWork picker (schema-level exclusion)",Medium,AT-NG-19
ATE-NG-15,Negative,Shifts,admin,Attempt to save a shift assignment with effective_to earlier than effective_from,"Client blocks submission or server error surfaced; assignment not created",Medium,AT-NG-21
ATE-NG-16,Negative,Attendance Policies,admin,Attempt to create a policy with zero allowed_methods selected,"Validation error; Save blocked",Medium,AT-VD-09
ATE-BD-01,Boundary,Check-in,New employee,Check-in attempt exactly on joining day vs. exactly one day after,"Joining day: blocked with specific message; joining day + 1: succeeds normally",High,AT-BD-07
ATE-BD-02,Boundary,Check-out,API-seeded + employeeSelf,Checkout on the same calendar day as check-in vs. checkout submitted more than 24h after check-in,"Same-day: overtime computed normally per shift rules; multi-day gap: workedMinutes capped at 24h, overtime forced to 0",High,AT-BD-04
ATE-BD-03,Boundary,Shifts,admin,Enter a shift name at exactly 150 characters vs. 151 characters,"150 chars: saves successfully; 151 chars: validation error blocks save",Low,—
ATE-BD-04,Boundary,Shifts,admin,Create a Split shift with only 1 time window vs. 3+ time windows,"Both configurations save; lateness/early-exit UI-documented as computed against first window's start and last window's end only",Medium,AT-BD-08
ATE-BD-05,Boundary,Shifts,admin,Toggle numeric fields (grace_period_minutes, expected_work_minutes) to 0 vs. a negative value,"0 accepted; KNOWN GAP — client currently has no bounds check, so a negative value may not be blocked client-side; document actual behavior against the server-side floor",Medium,—
ATE-BD-06,Boundary,Break,employeeSelf,Start a break and Resume within the same second (near-zero break duration),"Break/Resume lifecycle completes without error; worked-time timer resumes correctly with ~0 minutes deducted",Low,—
ATE-BD-07,Boundary,Monthly View/Calendar,employeeSelf,View the calendar for the month containing the global tracking-start cutoff (2026-05-01) for an employee joined before that date,"Days before the cutoff show as unavailable/not-trackable rather than a misleading Absent",Medium,AT-NG-03
ATE-BD-08,Boundary,Attendance Rules Settings,admin,Select all 7 days as Weekly Off Days simultaneously,"UI allows the (nonsensical but not technically invalid) selection and saves without client-side error; document whether this is intentionally unguarded",Low,—
ATE-BD-09,Boundary,Attendance Policies,admin,Configure a geofence policy with radius = 0 vs. a very large radius (e.g. 100000m),"Both save; 0 effectively requires an exact coordinate match — verify this doesn't silently block all check-ins for that policy without a clear warning",Low,AT-BD-02
ATE-BD-10,Boundary,Export,employeeSelf,Export Attendance History when exactly 0 rows are loaded (new employee, no history yet) vs. a full month of rows,"0 rows: export still succeeds with header-only CSV, no crash; full month: all visible rows included",Low,—
ATE-PM-01,Permission,Check-in,employeeSelf (no attendance.checkin),Load Attendance page / dashboard as a user lacking attendance.checkin,"No check-in controls rendered anywhere (card, dashboard, AppShell popup all suppressed)",Critical,AT-PM-01
ATE-PM-02,Permission,Monthly View/Calendar,employeeSelf,Attempt to reach another user's attendance data without attendance.view.team,"'Viewing for' selector absent; own data only ever shown",High,AT-PM-02
ATE-PM-03,Permission,Monthly View/Calendar,manager,Verify manager (holding attendance.view.team) CAN select and view a direct report's attendance,"'Viewing for' selector present and functional, scoped appropriately",High,AT-PM-02
ATE-PM-04,Permission,Attendance Policies,usersManageOnly (or equivalent lacking attendance.policy.manage),Attempt to reach /attendance-policies admin screen,"Nav item absent and/or screen shows an access-denied state; no CRUD/assign actions available",High,AT-PM-03
ATE-PM-05,Permission,Shifts,persona holding shifts.view but not shifts.manage,Load Shifts page,"List renders read-only; New/Edit/Delete/Assign controls absent or disabled",High,AT-PM-05
ATE-PM-06,Permission,Work Modes,any authenticated persona lacking work-modes.manage,GET the Work Modes list (e.g. via the check-in work-mode picker),"List is visible/populated (GET / is permission-free) even though this persona cannot manage entries",Medium,AT-PM-04
ATE-PM-07,Permission,Work Modes,persona lacking work-modes.manage,Attempt to reach /work-modes admin CRUD screen,"CRUD controls absent/blocked; list may still be visible per ATE-PM-06 but non-editable",Medium,AT-PM-04
ATE-PM-08,Permission,Attendance Rules Settings,persona holding attendance.settings.view only,Open Settings → Attendance tab,"Values are visible (read-only); Save control absent or disabled",Medium,AT-PM-09
ATE-PM-09,Permission,Attendance Rules Settings,admin/attendanceAdmin (attendance.settings.manage),Open Settings → Attendance tab and Save a change,"Save succeeds",Medium,AT-PM-09
ATE-PM-10,Permission,Cross-module,employeeSelf holding attendance.checkin but opted out via required_for_roles,Verify the user retains check-in capability despite being marked not-required,"Check-in controls still fully functional; only reminder/nag UI and KPI inclusion are suppressed",Medium,AT-PM-11
ATE-VD-01,Validation,Check-in,employeeSelf,Open Client Visit dialog, type then fully clear clientName,"Check-In button toggles disabled the instant the field becomes blank (trimmed check, not just empty-string)",High,AT-UI-02
