Test ID,Category,Feature,Scenario,Priority,Expected Result
CD-FN-01,Functional,Document Upload,Manager uploads a new document with title/category/dates/visibility/file,High,"Document created with version 1, share rows inserted per visibility, all in one transaction"
CD-FN-02,Functional,Document List,Employee views the document list,High,"Only active, effective (effective_date<=today, not expired), and shared-with-them documents returned"
CD-FN-03,Functional,Document List,Manager views the document list with status/category/search filters,High,"All documents returned regardless of status/date, correctly filtered by the given query params"
CD-FN-04,Functional,Document Detail,GET /:id as a manager,Medium,Response includes the shares array in addition to document metadata
CD-FN-05,Functional,Document Detail,GET /:id as an employee for a visible document,Medium,Document returned without a shares array
CD-FN-06,Functional,Document Update,PATCH /:id updates metadata,High,"Title/category/description/dates updated; all share rows replaced per the new visibility payload"
CD-FN-07,Functional,Versioning,POST /:id/versions uploads a new file version,High,"version_number = MAX+1 inserted; current_version_id repointed to the new version"
CD-FN-08,Functional,Versioning,GET /:id/versions lists all versions,Medium,"All versions returned, newest first, manage-only"
CD-FN-09,Functional,Archive/Restore,PATCH /:id/archive then /:id/restore,Medium,"status transitions active -> archived -> active correctly"
CD-FN-10,Functional,Deletion,DELETE /:id,High,"Shares, versions, and the document row all removed transactionally; on-disk files unlinked (best-effort)"
CD-FN-11,Functional,Download,GET /:id/download for the current version,High,"File streamed with Content-Disposition: attachment and the original display filename"
CD-FN-12,Functional,Download,GET /:id/download?versionId= as a manager,High,Specific historical version streamed correctly
CD-FN-13,Functional,Preview,GET /:id/preview for a previewable MIME type,Medium,"Inline preview served with correct Content-Type and Content-Disposition: inline"
CD-FN-14,Functional,Visibility,Document shared with share_type='all',High,Visible to every employee in the tenant
CD-FN-15,Functional,Visibility,Document shared with share_type='role'/'department'/'branch',High,Visible only to matching users
CD-FN-16,Functional,Notifications,Upload a new document,Medium,"""New document published: {title}"" notification fired to all resolved recipients per the visibility rows"
CD-FN-17,Functional,Notifications,Upload a new version,Medium,"""Document updated: {title}"" notification fired to all resolved recipients"
CD-FN-18,Functional,Visibility Picker,GET /lookups/roles,Low,"Returns the tenant's role list for the visibility picker, manage-only"
CD-FN-19,Functional,Provisioning Regression,Provision a new tenant post-migration-040,High,"hr and super_admin roles automatically receive company-documents.view/.manage — confirms the seed-drift fix holds for new tenants"
CD-NG-01,Negative,Upload,Upload a file with an unsupported extension,High,"400 ""File type \""<ext>\"" is not allowed"""
CD-NG-02,Negative,Upload,Upload a file exceeding 20MB,High,"400 ""File exceeds the 20MB size limit"""
CD-NG-03,Negative,Upload,POST / with no file attached (bypassing the client-side check),Medium,Server-side error since a version row requires a file — verify a clean 400 rather than an unhandled crash
CD-NG-04,Negative,Permission Guards,"Call PATCH/POST versions/DELETE/archive/restore/lookups-roles without company-documents.manage",Critical,403 forbidden on each
