Test ID,Category,Feature,Scenario,Priority,Expected Result
PA-FN-01,Functional,Auth,Login with valid platform admin credentials,High,"200, access token returned, httpOnly refresh cookie mywe_platform_admin_refresh_token set on /api/platform-admin/auth path"
PA-FN-02,Functional,Auth,Call /auth/refresh with valid cookie,High,"200, old refresh token revoked, new access + refresh token issued (rotation)"
PA-FN-03,Functional,Auth,Logout,Medium,"200 {success:true}, refresh token revoked, cookie cleared"
PA-FN-04,Functional,Auth,Change password with correct current password,High,"200, password updated, all existing refresh tokens for that admin revoked"
PA-FN-05,Functional,Companies,"List companies (default page 1, pageSize 20)",High,"Paginated list with plan, employee/active-user counts, last login, org admin name"
PA-FN-06,Functional,Companies,Search + status filter combined,Medium,Filtered/paginated result matches query params
PA-FN-07,Functional,Companies,Get company by valid :id,High,"200, full company profile"
PA-FN-08,Functional,Companies,Provision new company (valid full payload),High,"Tenant, roles/permissions, nav menu, plan-gated modules, admin user, and admin-role link all created in one transaction; response {tenantId, adminUserId, adminEmail, generatedPassword}"
PA-FN-09,Functional,Companies,Update company profile (name/address/currency/date format/FY/theme),Medium,"200, fields persisted"
PA-FN-10,Functional,Companies,Activate a trial/suspended company,High,status='active'
PA-FN-11,Functional,Companies,Suspend an active company,High,"status='suspended', tenant's users blocked at next login (via requireActiveTenant)"
PA-FN-12,Functional,Companies,"Arbitrary status transition via /status (trial→active→cancelled)",Medium,Status updated to requested enum value
PA-FN-13,Functional,Companies,Reset admin password for company with linked admin,High,"New one-time password generated, bcrypt-hashed, all refresh tokens for that HR user revoked, {adminEmail, newPassword} returned once"
PA-FN-14,Functional,Companies,Assign subscription plan to company,High,"Plan assigned, applyPlanModules re-toggles is_feature_enabled on gateable menu items live"
PA-FN-15,Functional,Companies,View tenant health checklist,Medium,Onboarding checklist booleans + completion % returned
PA-FN-16,Functional,Companies,View usage summary,Medium,"Employee/user counts, storage bytes, last payroll/attendance sync, storageLimitMb returned"
PA-FN-17,Functional,Companies,View provisioning history,Medium,"List of past attempts with parsed steps JSON, no plaintext password ever present"
PA-FN-18,Functional,Dashboard,Load platform KPIs,High,"8 aggregate fields (total/active/trial/suspended companies, new this month, employees, active users) returned, no row-level HR data"
PA-FN-19,Functional,System Health,Load system health,Medium,"DB latency, API uptime, storage bytes, active tenant count, honest not_configured background-jobs status"
PA-FN-20,Functional,Subscription Plans,List all plans / active-only via ?activeOnly=true,Medium,Correct filtered list
PA-FN-21,Functional,Subscription Plans,Create new plan,High,"201/200, plan persisted with enabled_modules JSON"
PA-FN-22,Functional,Subscription Plans,Update existing plan,Medium,Fields updated
PA-FN-23,Functional,Employee Limit,Add employee under Enterprise plan (max_employees = null),Medium,"Check skipped entirely, employee created regardless of count"
PA-NG-01,Negative,Auth,Login with unknown email,High,"401 ""Invalid email or password"""
PA-NG-02,Negative,Auth,"Login with correct email, wrong password",High,"401 ""Invalid email or password"", failed-attempt counter incremented"
PA-NG-03,Negative,Auth,Login as an admin with is_active=false,High,"401 ""Invalid email or password"" (indistinguishable from bad password — no enumeration leak)"
PA-NG-04,Negative,Auth,Login while locked_until is in the future,High,"429 ""Too many failed login attempts. Please try again in a few minutes."""
PA-NG-05,Negative,Auth,/auth/refresh with no cookie,High,"401 ""Not authenticated"""
PA-NG-06,Negative,Auth,/auth/refresh with unknown/expired token,High,"401 ""Session expired, please log in again"""
PA-NG-07,Negative,Auth,/auth/refresh replay of an already-revoked token,Critical,"Detected as theft: all refresh tokens for that admin revoked, cookie cleared, 401 ""Session invalidated, please log in again"""
PA-NG-08,Negative,Auth,Change password with wrong current password,High,"400 ""Current password is incorrect"""
PA-NG-09,Negative,Companies,Get/Update/Activate a nonexistent :id,High,"404 ""Company not found"""
PA-NG-10,Negative,Companies,Provision company with slug that already exists,High,"409 ""A company with this code (slug) already exists"""
PA-NG-11,Negative,Companies,Provision/assign with missing or is_active=false subscription plan,High,"400 ""Select a valid, active subscription plan"""
PA-NG-12,Negative,Companies,Reset admin password when primary_admin_user_id is null,Medium,"404 ""This company has no linked administrator to reset"""
PA-NG-13,Negative,Subscription Plans,Create plan with duplicate name,High,"409 ""A subscription plan with this name already exists"""
PA-NG-14,Negative,Subscription Plans,Get nonexistent plan :id,Medium,"404 ""Subscription plan not found"""
PA-NG-15,Negative,Employee Limit,Create employee when currentCount >= max_employees,High,"403 ""Employee limit reached for your subscription plan (X/Y). Upgrade your plan to add more employees."""
PA-NG-16,Negative,Module Gating,Tenant user requests a module not in plan's enabled_modules,High,"403 ""This feature is not enabled for your organization"""
PA-NG-17,Negative,Auth,Hit any /api/platform-admin/* route with no Authorization header,High,"401 ""Authentication required"""
PA-NG-18,Negative,Auth,Hit /api/platform-admin/* with a valid tenant JWT,Critical,"401 ""Invalid or expired token"" (signature fails — wrong secret)"
PA-NG-19,Negative,Auth,Hit tenant /api/* with a valid platform-admin JWT,Critical,"401 ""Invalid or expired token"""
PA-NG-20,Negative,Subscription Plans,Attempt DELETE on a subscription plan,Medium,"No delete endpoint exists — 404/405; plans can only be soft-disabled via is_active"
PA-BD-01,Boundary,Rate Limiter,Exactly 10 vs 11th login attempt from same IP within 15 min,High,"10th allowed through to auth logic, 11th blocked with rate-limit 429"
PA-BD-02,Boundary,Lockout,4th vs 5th consecutive failed login,High,"5th attempt sets locked_until = now+15min; 4th does not lock the account"
PA-BD-03,Boundary,Lockout,Login attempt exactly at locked_until expiry boundary,Medium,"Attempt after expiry proceeds to normal credential check, not blocked"
PA-BD-04,Boundary,Tokens,Access token used at exactly 15-minute TTL boundary,Medium,"Token valid up to expiry, rejected immediately after"
PA-BD-05,Boundary,Tokens,Refresh token used at exactly 7-day TTL boundary,Medium,"Valid up to expiry, ""Session expired"" after"
PA-BD-06,Boundary,Validation,Slug of exactly 50 chars vs 51 chars,Medium,"50 chars accepted ({1,49} after first char = 50 total max), 51 rejected"
PA-BD-07,Boundary,Validation,Company name at 255 vs 256 chars,Medium,"255 accepted, 256 rejected by schema"
PA-BD-08,Boundary,Validation,Plan name at 100 vs 101 chars,Medium,"100 accepted, 101 rejected"
PA-BD-09,Boundary,Employee Limit,Employee count exactly equal to max_employees vs one below,Critical,"Equal-to blocks creation (>= check), one-below allows it"
PA-BD-10,Boundary,Pagination,"page=0, page beyond last page, very large pageSize",Medium,"Graceful empty/clamped result, no server error"
PA-BD-11,Boundary,Validation,New password at exactly 8 chars vs 7 chars,Medium,"8 accepted, 7 rejected by platformAdminChangePasswordSchema"
PA-BD-12,Boundary,Usage UI,Storage usage at 89% vs 90% vs 91% of storageLimitMb,Low,"""Approaching limit"" chip appears only at >=90% threshold"
PA-VD-01,Validation,Login schema,Missing email or password,High,400 with field-level validation error
PA-VD-02,Validation,Login schema,Malformed email (notanemail),Medium,400 validation error
PA-VD-03,Validation,Create company,Slug with uppercase letters,High,"Rejected: ""Lowercase letters, numbers and hyphens only"""
PA-VD-04,Validation,Create company,Slug starting with a hyphen,Medium,"Rejected by regex ^[a-z0-9][a-z0-9-]{1,49}$"
PA-VD-05,Validation,Create company,Missing name/phone/adminName/adminEmail/subscription_plan_id,High,400 per-field required errors
PA-VD-06,Validation,Create company,Invalid adminEmail format,High,400 email validation error
PA-VD-07,Validation,Create company,Invalid roleTemplate (not simple/enterprise),Medium,400 enum validation error
